order_id,order_date,ship_date,category,sales,quantity,profit
138688,13/06/2013,17/06/2013,Labels,14.62,2,6.87
115812,09/06/2011,14/06/2011,Furnishings,48.86,7,14.17
115812,09/06/2011,14/06/2011,Art,7.28,4,1.97
115812,09/06/2011,14/06/2011,Phones,907.15,4,90.72
115812,09/06/2011,14/06/2011,Binders,18.5,3,5.78
115812,09/06/2011,14/06/2011,Appliances,114.9,5,34.47
115812,09/06/2011,14/06/2011,Tables,1706.18,9,85.31
115812,09/06/2011,14/06/2011,Phones,911.42,4,68.36
161389,06/12/2013,11/12/2013,Binders,407.98,3,132.59
167164,13/05/2011,15/05/2011,Storage,55.5,2,9.99
143336,27/08/2011,01/09/2011,Art,8.56,2,2.48
143336,27/08/2011,01/09/2011,Phones,213.48,3,16.01
143336,27/08/2011,01/09/2011,Binders,22.72,4,7.38
106320,25/09/2012,30/09/2012,Tables,1044.63,3,240.26
121755,16/01/2013,20/01/2013,Binders,11.65,2,4.22
121755,16/01/2013,20/01/2013,Accessories,90.57,3,11.77
101343,18/07/2013,23/07/2013,Storage,77.88,2,3.89
135545,24/11/2012,30/11/2012,Accessories,13.98,2,6.15
135545,24/11/2012,30/11/2012,Binders,25.82,6,9.36
135545,24/11/2012,30/11/2012,Paper,146.73,3,68.96
135545,24/11/2012,30/11/2012,Furnishings,79.76,4,22.33
106376,05/12/2011,10/12/2011,Art,1113.02,8,111.3
106376,05/12/2011,10/12/2011,Phones,167.97,4,62.99
139451,12/10/2011,16/10/2011,Art,14.9,5,4.17
139451,12/10/2011,16/10/2011,Storage,21.39,1,6.2
109806,18/09/2013,23/09/2013,Art,20.1,3,6.63
109806,18/09/2013,23/09/2013,Phones,73.58,2,8.28
109806,18/09/2013,23/09/2013,Paper,6.48,1,3.11
109484,07/11/2014,13/11/2014,Binders,5.68,1,-3.79
157833,18/06/2014,21/06/2014,Binders,51.31,3,17.96
156867,13/11/2012,17/11/2012,Accessories,238.9,6,-26.88
156867,13/11/2012,17/11/2012,Furnishings,102.36,3,-3.84
156867,13/11/2012,17/11/2012,Binders,36.88,3,-25.82
